id	name	desc	openLevel	openlevel2	openlevel3
1	银牙城堡	王国的联邦城市，趋向于军事化的堡垒，被称为王国之门！紧邻西斯迪尔之源泉，受到娜迦的庇护。有着媲美王国的军事实力，历代领主骁勇善战，热爱子民。当代的领主米拉德是联盟国家中最强的战士，他虽然不信仰圣光，但他的真诚与热情无一不被圣光所照耀，他的子民也常年为他祈祷。黑暗降临时，为了庇护他的人民，他决然选择了黑暗的力量！但是他并没有协助攻打王城，他内心的良知不断的感化着他，但他始终无法摆脱宿命。当这一切败露时，被黑暗笼罩的他，失去了圣光的庇护，能力被削弱了，绝望中的他誓死捍卫着他的誓言。他确实是叛徒，与此同时他也是影牙的英雄。	15	20	25
2	血色教堂	王国的联邦城市，趋向于军事化的堡垒，被称为王国之门！紧邻西斯迪尔之源泉，受到娜迦的庇护。有着媲美王国的军事实力，历代领主骁勇善战，热爱子民。当代的领主米拉德是联盟国家中最强的战士，他虽然不信仰圣光，但他的真诚与热情无一不被圣光所照耀，他的子民也常年为他祈祷。黑暗降临时，为了庇护他的人民，他决然选择了黑暗的力量！但是他并没有协助攻打王城，他内心的良知不断的感化着他，但他始终无法摆脱宿命。当这一切败露时，被黑暗笼罩的他，失去了圣光的庇护，能力被削弱了，绝望中的他誓死捍卫着他的誓言。他确实是叛徒，与此同时他也是影牙的英雄。	50	55	60
3	祖尔神迹	王国的联邦城市，趋向于军事化的堡垒，被称为王国之门！紧邻西斯迪尔之源泉，受到娜迦的庇护。有着媲美王国的军事实力，历代领主骁勇善战，热爱子民。当代的领主米拉德是联盟国家中最强的战士，他虽然不信仰圣光，但他的真诚与热情无一不被圣光所照耀，他的子民也常年为他祈祷。黑暗降临时，为了庇护他的人民，他决然选择了黑暗的力量！但是他并没有协助攻打王城，他内心的良知不断的感化着他，但他始终无法摆脱宿命。当这一切败露时，被黑暗笼罩的他，失去了圣光的庇护，能力被削弱了，绝望中的他誓死捍卫着他的誓言。他确实是叛徒，与此同时他也是影牙的英雄。	80	85	90
4	厄运王国	王国的联邦城市，趋向于军事化的堡垒，被称为王国之门！紧邻西斯迪尔之源泉，受到娜迦的庇护。有着媲美王国的军事实力，历代领主骁勇善战，热爱子民。当代的领主米拉德是联盟国家中最强的战士，他虽然不信仰圣光，但他的真诚与热情无一不被圣光所照耀，他的子民也常年为他祈祷。黑暗降临时，为了庇护他的人民，他决然选择了黑暗的力量！但是他并没有协助攻打王城，他内心的良知不断的感化着他，但他始终无法摆脱宿命。当这一切败露时，被黑暗笼罩的他，失去了圣光的庇护，能力被削弱了，绝望中的他誓死捍卫着他的誓言。他确实是叛徒，与此同时他也是影牙的英雄。	110	115	120
5	斯坦索姆	王国的联邦城市，趋向于军事化的堡垒，被称为王国之门！紧邻西斯迪尔之源泉，受到娜迦的庇护。有着媲美王国的军事实力，历代领主骁勇善战，热爱子民。当代的领主米拉德是联盟国家中最强的战士，他虽然不信仰圣光，但他的真诚与热情无一不被圣光所照耀，他的子民也常年为他祈祷。黑暗降临时，为了庇护他的人民，他决然选择了黑暗的力量！但是他并没有协助攻打王城，他内心的良知不断的感化着他，但他始终无法摆脱宿命。当这一切败露时，被黑暗笼罩的他，失去了圣光的庇护，能力被削弱了，绝望中的他誓死捍卫着他的誓言。他确实是叛徒，与此同时他也是影牙的英雄。	130	135	140
6	黑石之翼	王国的联邦城市，趋向于军事化的堡垒，被称为王国之门！紧邻西斯迪尔之源泉，受到娜迦的庇护。有着媲美王国的军事实力，历代领主骁勇善战，热爱子民。当代的领主米拉德是联盟国家中最强的战士，他虽然不信仰圣光，但他的真诚与热情无一不被圣光所照耀，他的子民也常年为他祈祷。黑暗降临时，为了庇护他的人民，他决然选择了黑暗的力量！但是他并没有协助攻打王城，他内心的良知不断的感化着他，但他始终无法摆脱宿命。当这一切败露时，被黑暗笼罩的他，失去了圣光的庇护，能力被削弱了，绝望中的他誓死捍卫着他的誓言。他确实是叛徒，与此同时他也是影牙的英雄。	155	160	165
7	1213123		175	180	185
8	1213124		195	200	205
9	1213125		215	220	225
10	1213126		230	235	240
11	1213127		240	245	250
12	1213128		259	264	269
13	1213129		259	264	269
